번호,야영장명,사업주체_구분,도,시군구,주소,연락처 앞자리,연락처 중간자리,연락처 끝자리,주요시설 일반야영장,주요시설 자동차야영장,주요시설 글램핑,주요시설 카라반,주요시설 개인 카라반,주요시설 덤프스테이션,사이트 크기1 가로,사이트 크기2 가로,사이트 크기3 가로,사이트 크기1 세로,사이트 크기2 세로,사이트 크기3 세로,사이트 크기1 수량,사이트 크기2 수량,사이트 크기3 수량,인허가일자,화로대,부대시설,주변이용가능시설,소화기 개수,방화수 개수,방화사 개수,화재감지기 개수,테마환경,캠핑장비대여,반려동물출입
1619,정원캠핑장,민간,강원도,강릉시,강원특별자치도 강릉시 주문진읍 신리천로 1191-13,,,,0,13,0,0,0,0,7,0,0,8,0,0,13,0,0,2016-07-11,개별,"전기,무선인터넷,장작판매,온수,물놀이장,놀이터,운동시설","계곡 물놀이,강/물놀이",10,0,0,0,"여름물놀이,겨울눈꽃명소","텐트,릴선,화로대,난방기구,식기,침낭",불가능
1620,제이원빌리지,민간,경상남도,진주시,경상남도 진주시 내동면 내축로 563번길 27-3,55,756,1625,0,0,7,0,0,0,6,6,0,9,7,0,2,5,0,2018-03-07,개별,"전기,무선인터넷,온수,물놀이장,운동시설,마트_편의점","강/물놀이,농어촌체험시설",12,0,8,12,여름물놀이,,가능(소형견)
1621,제천 명암 오토캠핑장,민간,충청북도,제천시,충청북도 제천시 봉양읍 명암로 5길 1,43,651,6602,0,19,0,0,0,0,10,0,0,8,0,0,19,0,0,2018-07-16,개별,"전기,무선인터넷,장작판매,온수,물놀이장,마트_편의점","계곡 물놀이,산책로,낚시,강/물놀이",10,1,1,0,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길","텐트,화로대",가능(소형견)
1622,제천 모노레일 글램핑,민간,충청북도,제천시,충북 제천시 청풍면 청풍명월로 898,,,,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2018-07-10,개별,"전기,무선인터넷,장작판매,온수,운동시설,마트_편의점","계곡 물놀이,산책로,낚시,어린이놀이시설",10,1,1,10,"봄꽃여행,여름물놀이,가을단풍명소",,불가능
1623,제천공전자연 캠핑장,민간,충청북도,제천시,충북 제천시 봉양읍 의암로 345,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-08-20,,,,0,0,0,0,,,불가능
1624,조은자리 캠핑장,민간,경상북도,청도군,경북 청도군 운문면 신원리 398번지,,,,26,0,0,0,0,0,0,0,0,0,0,0,26,0,0,2017-09-05,개별,"전기,무선인터넷,온수,트렘폴린,물놀이장,운동시설,마트_편의점","계곡 물놀이,산책로",13,0,0,0,여름물놀이,,불가능
1625,주노글램핑 인 광주,민간,광주광역시,서구,광주 서구 상무자유로 29-1 (치평동),,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-06-15,,,,0,0,0,0,,,불가능
1626,지리산 벚꽃 카라반 캠핑장,민간,경상남도,하동군,경상남도 하동군 화개면 화개로 946-8 ,55,883,2606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-06-15,,,,0,0,0,0,,,불가능
1627,진틀펜션캠핑장,민간,전라남도,광양시,전남 광양시 옥룡면 신재로 1678-54,,,,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2018-08-26,공동취사장,"전기,장작판매,온수,물놀이장,마트_편의점","계곡 물놀이,산책로",10,2,2,0,"봄꽃여행,가을단풍명소,걷기길","릴선,화로대",불가능
1628,천보산자연휴양림 캠핑장,자연휴양림,경기도,포천시,경기도 포천시 동교동 원동교길 303 ,31,538,3342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-05-29,,,,0,0,0,0,,,불가능
1629,월출산국립공원 천황야영장,국립공원,전라남도,영암군,전라남도 영암군 영암읍 천황사로 280-73 ,61,473,5210,25,0,0,0,0,0,0,0,0,0,0,0,52,0,0,2015-08-04,개별,"전기,온수",,0,0,0,0,"봄꽃여행,걷기길",,불가능
1630,철이네 캠핑랜드,민간,경기도,용인시,경기도 용인시 처인구 백암면 용천로 205,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-08-14,,,,0,0,0,0,,,불가능
1631,청빈낙원캠핑장,지자체,충청남도,공주시,충남 공주시 사곡면 마곡사로 760-15,41,841,8422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-06-03,,"전기,장작판매",,0,0,0,0,,,불가능
1632,초원숲속야영장,민간,부산광역시,기장군,부산광역시 기장군 정관읍 병산1길 18,51,727,3067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017-09-04,,,,0,0,0,0,,,불가능
1633,치유의 숲 야영장,민간,경기도,포천시,경기도 포천시 신북면 금동리 28-2,,,,4,0,0,0,0,0,5,0,0,6,0,0,4,0,0,2018-01-04,개별,"전기,무선인터넷,온수,놀이터","계곡 물놀이,산책로",8,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",,가능
1634,치인야영장,국립공원,경상남도,합천군,경상남도 합천군 가야면 치인리 산 16-1 ,55,930,8000,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,2016-07-13,개별,,"계곡 물놀이,산책로",20,0,0,0,"봄꽃여행,여름물놀이,가을단풍명소,겨울눈꽃명소,걷기길",,불가능
1635,칠선계곡글램핑,민간,경상남도,함양군,경남 함양군 마천면 칠선로 201,,,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2016-07-27,개별,"전기,무선인터넷,장작판매,온수,운동시설","계곡 물놀이,산책로",10,0,0,0,"여름물놀이,가을단풍명소,걷기길",,불가능
1636,캠프 안단테,민간,경상북도,청도군,경북 청도군 청도읍 청매로 283-47,54,373,3305,49,31,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-07-19,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,마트_편의점","계곡 물놀이,산책로",50,7,0,0,"여름물놀이,가을단풍명소",릴선,가능(소형견)
1637,쿼크밸리 캠프,민간,경기도,남양주시,경기도 남양주시 화도읍 가곡리 401번지 일원,,,,40,40,0,0,0,0,6,0,0,11,0,0,40,0,0,2017-08-30,개별,"전기,무선인터넷,장작판매,온수,트렘폴린,물놀이장,놀이터,운동시설","계곡 물놀이,산책로,낚시,강/물놀이,농어촌체험시설",20,0,0,0,"액티비티,봄꽃여행,여름물놀이,가을단풍명소","텐트,화로대,난방기구",불가능
1638,탄도항 노을 캠핑장,민간,경기도,안산시,경기도 안산시 단원구 대부황금로 17-2 ,31,932,8188,0,0,12,15,0,0,0,0,0,0,0,0,0,0,0,2014-10-29,개별,"트렘폴린,물놀이장,운동장,마트_편의점",,0,0,0,0,,릴선,불가능
1639,토함산관광농원(캠프5),민간,경상북도,경주시,경북 경주시 보정로 264-97 (하동),,,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,2022-02-11,개별,"전기,무선인터넷,장작판매,온수,물놀이장,산책로,운동장","계곡 물놀이,산책로,낚시,어린이놀이시설",5,0,0,5,"봄꽃여행,여름물놀이,가을단풍명소,걷기길",,불가능
